"Notes","State","State Code","Year","Year Code",Births,Total Population,Birth Rate,Female Population,Fertility Rate
,"District of Columbia","11","2007","2007",8864,574404,15.43,149303,59.37
,"District of Columbia","11","2008","2008",9130,580236,15.73,152846,59.73
,"District of Columbia","11","2009","2009",9040,592228,15.26,157384,57.44
,"District of Columbia","11","2010","2010",9165,601723,15.23,162314,56.46
,"District of Columbia","11","2011","2011",9295,617996,15.04,166081,55.97
,"District of Columbia","11","2012","2012",9399,632323,14.86,170060,55.27
,"District of Columbia","11","2013","2013",9288,646449,14.37,174288,53.29
,"District of Columbia","11","2014","2014",9509,658893,14.43,177568,53.55
,"District of Columbia","11","2015","2015",9578,672228,14.25,181381,52.81
,"District of Columbia","11","2016","2016",9858,681170,14.47,183414,53.75
,"District of Columbia","11","2017","2017",9560,693972,13.78,186464,51.27
,"District of Columbia","11","2018","2018",9212,702455,13.11,188939,48.76
,"District of Columbia","11","2019","2019",9079,705749,12.86,190372,47.69
,"District of Columbia","11","2020","2020",8874,712816,12.45,192313,46.14
,"District of Columbia","11","2021","2021",8660,Not Available,Not Available,Not Available,Not Available
,"District of Columbia","11","2022","2022",8075,Not Available,Not Available,Not Available,Not Available
,"District of Columbia","11","2023","2023",7896,Not Available,Not Available,Not Available,Not Available
,"District of Columbia","11","2024","2024",7616,Not Available,Not Available,Not Available,Not Available
"Total","District of Columbia","11",,,162098,9072642,17.87,2432727,66.63
"Total",,,,,162098,9072642,17.87,2432727,66.63
"---"
"Dataset: Natality, 2007-2024"
"Query Parameters:"
"States: District of Columbia (11)"
"Group By: State; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: Default intercensal populations for years 2007-2009"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Feb 24, 2026 1:54:18 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Feb 24, 2026 1:54:18 AM"
"---"
Caveats:
"1. 'Not Available' appears when the denominator population for a rate measure is not available."
"2. Each birth record represents one liveborn infant."
"3. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, mother's hispanicity, location, or year of birth, then the same sub-set for age, race, hispanicity,"
