"Notes","State","State Code","Year","Year Code",Births,Total Population,Birth Rate,Female Population,Fertility Rate
,"District of Columbia","11","2003","2003",7619,568502,13.40,142560,53.44
,"District of Columbia","11","2004","2004",7933,567754,13.97,143022,55.47
,"District of Columbia","11","2005","2005",7971,567136,14.05,143933,55.38
,"District of Columbia","11","2006","2006",8523,570681,14.93,147102,57.94
"Total","District of Columbia","11",,,32046,2274073,14.09,576617,55.58
"Total",,,,,32046,2274073,14.09,576617,55.58
"---"
"Dataset: Natality, 2003-2006"
"Query Parameters:"
"States: District of Columbia (11)"
"Group By: State; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: Default intercensal populations for years 2003-2006"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Feb 24, 2026 1:56:30 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2003-2006, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-v2006.html on Feb 24, 2026 1:56:30 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, location, or year of birth, then the same sub-set for age, race, location and year applies to the"
"denominator population."
"3. Fertility rates are calculated as the number of births divided by the number of females age 15 - 44 years old in the given"
"year(s). When the numerator is sub-set by mother's age, mother's race, location, or year of birth, then the same sub-set for"
"age, race, location and year applies to the denominator population. However, if you sub-set mother's age selecting some years"
"not in the 15 - 44 range, those years of mother's age ouside this range will not be included in the denominator population. If"
"you sub-set mother's age selecting only years outside the 15 - 44 range, the denominator population returned will be zero and"
"flagged ""Not Available""."
"4. Birth rates and fertility rates for years 2003-2006 are calculated using the revised intercensal bridged-race series of July"
"1st estimates of the resident population, released by NCHS on October 26, 2012. More information:"
"http://wonder.cdc.gov/wonder/help/natality.html#Denominator-Population-Sources."
