GEOID,NAME,total_population_universe,total_population_universe_M,federal_poverty_limit_universe_allraces,federal_poverty_limit_universe_allraces_M,federal_poverty_limit_below_allraces,federal_poverty_limit_below_allraces_M,federal_poverty_limit_below_allraces_percent,federal_poverty_limit_below_allraces_percent_M
001008301,Census Tract 83.01; District of Columbia; District of Columbia,2868,348,2728,344,222,100,8.14,3.52
001008302,Census Tract 83.02; District of Columbia; District of Columbia,2832,483,2685,483,26,23,0.97,0.84
001008402,Census Tract 84.02; District of Columbia; District of Columbia,2661,328,2652,328,221,105,8.33,3.82
001008410,Census Tract 84.10; District of Columbia; District of Columbia,2025,390,2025,390,42,34,2.07,1.63
001008701,Census Tract 87.01; District of Columbia; District of Columbia,2616,474,2607,474,288,199,11.05,7.36
001008702,Census Tract 87.02; District of Columbia; District of Columbia,3672,494,3672,494,308,171,8.39,4.52
001008802,Census Tract 88.02; District of Columbia; District of Columbia,4978,791,4940,785,1472,751,29.8,14.45
001008803,Census Tract 88.03; District of Columbia; District of Columbia,5082,513,4419,509,887,308,20.07,6.58
001008804,Census Tract 88.04; District of Columbia; District of Columbia,2611,715,2611,715,587,413,22.48,14.57
001008903,Census Tract 89.03; District of Columbia; District of Columbia,3827,1038,3677,1023,874,485,23.77,11.41
001008904,Census Tract 89.04; District of Columbia; District of Columbia,3740,804,3740,804,896,617,23.96,15.67
001009000,Census Tract 90; District of Columbia; District of Columbia,3776,587,3776,587,321,187,8.5,4.77
001009102,Census Tract 91.02; District of Columbia; District of Columbia,4322,673,4309,672,830,393,19.26,8.61
001009201,Census Tract 92.01; District of Columbia; District of Columbia,3234,458,3041,457,472,219,15.52,6.81
001009203,Census Tract 92.03; District of Columbia; District of Columbia,3320,771,3320,771,562,528,16.93,15.41
001009204,Census Tract 92.04; District of Columbia; District of Columbia,3368,637,3368,637,954,404,28.33,10.73
001009301,Census Tract 93.01; District of Columbia; District of Columbia,3742,469,3742,469,326,187,8.71,4.88
001009302,Census Tract 93.02; District of Columbia; District of Columbia,1987,314,1987,314,147,99,7.4,4.84
001009400,Census Tract 94; District of Columbia; District of Columbia,4721,721,4702,715,300,245,6.38,5.12
001009503,Census Tract 95.03; District of Columbia; District of Columbia,2911,600,2888,600,319,188,11.05,6.09
001009504,Census Tract 95.04; District of Columbia; District of Columbia,3281,414,3000,411,488,266,16.27,8.58
001009505,Census Tract 95.05; District of Columbia; District of Columbia,4493,697,4472,698,437,279,9.77,6.05
001009507,Census Tract 95.07; District of Columbia; District of Columbia,1635,325,1635,325,268,271,16.39,16.25
001009508,Census Tract 95.08; District of Columbia; District of Columbia,3930,869,3920,870,269,178,6.86,4.28
001009509,Census Tract 95.09; District of Columbia; District of Columbia,3076,358,3076,358,97,75,3.15,2.41
001009510,Census Tract 95.10; District of Columbia; District of Columbia,4908,908,4908,908,563,264,11.47,4.94
001009511,Census Tract 95.11; District of Columbia; District of Columbia,1645,57,130,8,130,8,100,0
001009601,Census Tract 96.01; District of Columbia; District of Columbia,2288,475,2284,475,723,367,31.65,14.66
001009602,Census Tract 96.02; District of Columbia; District of Columbia,5822,780,5822,780,1881,748,32.31,12.1
001009603,Census Tract 96.03; District of Columbia; District of Columbia,3598,621,3598,621,1025,419,28.49,10.56
001009604,Census Tract 96.04; District of Columbia; District of Columbia,1970,548,1970,548,238,185,12.08,8.77
001009700,Census Tract 97; District of Columbia; District of Columbia,3237,682,3237,682,607,276,18.75,7.56
001009801,Census Tract 98.01; District of Columbia; District of Columbia,1844,394,1844,394,729,384,39.53,19.03
001009802,Census Tract 98.02; District of Columbia; District of Columbia,2286,515,2286,515,1219,401,53.32,12.78
001009803,Census Tract 98.03; District of Columbia; District of Columbia,2805,831,2396,603,915,383,38.19,12.77
001009804,Census Tract 98.04; District of Columbia; District of Columbia,2989,607,2989,607,951,323,31.82,8.66
001009807,Census Tract 98.07; District of Columbia; District of Columbia,3474,769,3390,768,798,427,23.54,11.41
001009810,Census Tract 98.10; District of Columbia; District of Columbia,2109,700,2109,700,1080,917,51.21,40.02
001009811,Census Tract 98.11; District of Columbia; District of Columbia,4462,1070,4462,1070,1132,669,25.37,13.7
001009901,Census Tract 99.01; District of Columbia; District of Columbia,2080,312,2080,312,39,35,1.87,1.66
001009902,Census Tract 99.02; District of Columbia; District of Columbia,3006,833,3003,833,260,171,8.66,5.16
001009903,Census Tract 99.03; District of Columbia; District of Columbia,2128,487,2128,487,160,105,7.52,4.62
001009904,Census Tract 99.04; District of Columbia; District of Columbia,3326,806,3320,806,1241,747,37.38,20.59
001009905,Census Tract 99.05; District of Columbia; District of Columbia,3562,676,3543,677,1025,589,28.93,15.68
001009906,Census Tract 99.06; District of Columbia; District of Columbia,1588,356,1588,356,225,131,14.17,7.61
001009907,Census Tract 99.07; District of Columbia; District of Columbia,2067,576,2055,576,692,507,33.67,22.79
001010100,Census Tract 101; District of Columbia; District of Columbia,2591,444,2514,443,233,112,9.27,4.14
001010201,Census Tract 102.01; District of Columbia; District of Columbia,2603,491,2603,491,276,163,10.6,5.93
001010202,Census Tract 102.02; District of Columbia; District of Columbia,2802,489,2798,492,166,104,5.93,3.57
001010300,Census Tract 103; District of Columbia; District of Columbia,4263,556,4249,556,770,399,18.12,9.09
001010400,Census Tract 104; District of Columbia; District of Columbia,4789,955,4531,950,1516,523,33.46,9.17
001010500,Census Tract 105; District of Columbia; District of Columbia,4201,578,4201,578,940,311,22.38,6.73
001010601,Census Tract 106.01; District of Columbia; District of Columbia,2126,399,2126,399,266,103,12.51,4.24
001010602,Census Tract 106.02; District of Columbia; District of Columbia,7378,831,7298,831,1012,548,13.87,7.34
001010603,Census Tract 106.03; District of Columbia; District of Columbia,2859,530,2859,530,135,70,4.72,2.29
001010700,Census Tract 107; District of Columbia; District of Columbia,1662,354,1544,354,287,104,18.59,5.22
001010800,Census Tract 108; District of Columbia; District of Columbia,5364,303,1281,296,521,192,40.67,11.68
001010900,Census Tract 109; District of Columbia; District of Columbia,3458,745,3458,745,985,633,28.48,17.25
001011001,Census Tract 110.01; District of Columbia; District of Columbia,2345,446,2345,446,257,242,10.96,10.11
001011002,Census Tract 110.02; District of Columbia; District of Columbia,1440,198,1417,199,91,79,6.42,5.5
001011100,Census Tract 111; District of Columbia; District of Columbia,5028,733,4788,732,1222,533,25.52,10.43
001980000,Census Tract 9800; District of Columbia; District of Columbia,17,25,17,25,0,15,0,88.24
